	num_hpo_annotation	num_patient	num_disease
Entrez:79087	43	1	1.0
Entrez:3423	43	8	1.0
Entrez:3507	43	1	1.0
Entrez:54768	43	1	1.0
Entrez:2782	43	12	2.0
Entrez:10195	43	1	1.0
Entrez:1906	43	1	2.0
Entrez:2902	43	2	2.0
Entrez:23090	42	1	1.0
Entrez:6608	42	1	2.0
Entrez:50846	42	3	2.0
Entrez:1892	42	2	1.0
Entrez:50939	42	2	2.0
Entrez:3508	41	6	2.0
Entrez:5251	41	1	1.0
Entrez:55129	41	4	1.0
Entrez:23512	41	1	
Entrez:80347	41	1	2.0
Entrez:411	41	2	1.0
Entrez:2294	41	1	1.0
Entrez:5949	41	1	2.0
Entrez:6866	41	2	1.0
Entrez:56776	41	1	1.0
Entrez:85478	41	1	1.0
Entrez:7915	41	1	1.0
Entrez:56997	40	3	1.0
Entrez:2147	40	1	4.0
Entrez:389856	40	1	1.0
Entrez:91179	40	1	1.0
Entrez:51185	40	1	1.0
Entrez:760	40	1	1.0
Entrez:6901	40	1	1.0
Entrez:3872	40	1	2.0
Entrez:29926	40	1	1.0
Entrez:284217	40	1	1.0
Entrez:23162	39	1	1.0
Entrez:1770	39	1	1.0
Entrez:10716	39	10	1.0
Entrez:51422	39	1	3.0
Entrez:56006	39	3	1.0
Entrez:6531	39	1	1.0
Entrez:1285	39	3	3.0
Entrez:2259	39	1	1.0
Entrez:477	38	1	2.0
Entrez:11011	38	2	1.0
Entrez:8701	38	1	1.0
Entrez:331	38	1	2.0
Entrez:3141	38	1	1.0
Entrez:3315	38	5	2.0
Entrez:51322	38	4	1.0
Entrez:92609	38	2	1.0
Entrez:5158	37	1	2.0
Entrez:9772	37	1	1.0
Entrez:26121	37	4	1.0
Entrez:100506658	37	2	1.0
